,BRD-K87070823,BRD-K41524689,BRD-K56187579,BRD-K24640516,BRD-K01516250,BRD-K53581917,BRD-K53073808,BRD-K89604161,BRD-K68432770,BRD-K06057707,BRD-A60363637,BRD-K11433652,BRD-K57602059,BRD-A55748233,BRD-K98494274,BRD-K41494493,BRD-K27263856,BRD-K18755762,BRD-K83142120,BRD-K18528236,BRD-K36452089,BRD-K44889349,BRD-K02404261,BRD-K49023266,BRD-K24169676,BRD-K74225533,BRD-A21197264,BRD-K77637365,BRD-K74740347,BRD-K02442533,BRD-K05792988,BRD-K44196287,BRD-K88785477,BRD-K36008333,BRD-A04553218,BRD-K97746869,BRD-M07056525,BRD-K23913458,BRD-K44284819,BRD-K32646222,BRD-K76289201,BRD-K89273686,BRD-K31874833,BRD-K28174705,BRD-K80943264,BRD-K69945243,BRD-K52413425,BRD-K13664374,BRD-K61283921,BRD-K02971764,BRD-K40978828,BRD-K01473791,BRD-K45330754,BRD-A29800834,BRD-K61844951,BRD-K46893829,BRD-K35424448,BRD-K66090100,BRD-K74974393,BRD-K78578876,BRD-K21848683,BRD-K42978307,BRD-K47278471,BRD-K06719830,BRD-K91544592,BRD-A44008656,BRD-A63289646,BRD-A85777636,BRD-A58013617,BRD-K14984983,BRD-K52150534,BRD-K56709273,BRD-A89471977,BRD-K32977963,BRD-K65278478,BRD-K38544018,BRD-K78260339,BRD-K38101625,BRD-K99792991,BRD-K30114692,BRD-K99946902,BRD-K01023961,BRD-K07080595,BRD-K13078532,BRD-K66808046,BRD-K98162554,BRD-K87202646,BRD-K32052120,BRD-A68045637,BRD-K20986251,BRD-K60655503,BRD-K66195174,BRD-K49262771,BRD-K41708769,BRD-K21140981,BRD-K14888712,BRD-K91410384,BRD-M23906834,BRD-K52020312,BRD-K76618906,BRD-K76979852,BRD-K02093472,BRD-K61230716,BRD-K22685337,BRD-K57342930,BRD-K41794177,BRD-K06927120,BRD-K56106004,BRD-K88965984,BRD-K72839221,BRD-K85859564,BRD-K24610782,BRD-K91960538,BRD-K39988237,BRD-K87388562,BRD-K53086208,BRD-K89615690,BRD-K00423995,BRD-K40144941,BRD-A56621826,BRD-K50711164,BRD-K11399644,BRD-K24205095,BRD-K76549667,BRD-K35458079,BRD-K76882095,BRD-K12306437,BRD-K73340860,BRD-K37884199,BRD-K48920366,BRD-K73381542,BRD-K90486084,BRD-K09840196,BRD-K88925363,BRD-K76452401,BRD-A59158939,BRD-A46335897,BRD-K80400967,BRD-K28667793,BRD-K88429204,BRD-K53997799,BRD-K14920963,BRD-K74190368,BRD-K92276921,BRD-K08316444,BRD-K42682219,BRD-A92561457,BRD-K55892330,BRD-K44817169,BRD-K50859149,BRD-K45689979,BRD-K90697689,BRD-A34788695,BRD-K32744045,BRD-K33314491,BRD-M47397275,BRD-K29254801,BRD-K97799481,BRD-K77695569,BRD-K67940053,BRD-K22552152,BRD-K54288638,BRD-K32164935,BRD-K85119730,BRD-K26954478,BRD-K85341153,BRD-K92860374,BRD-K89246364,BRD-K93660103,BRD-K83776863,BRD-K88052444,BRD-K80829348,BRD-K81073239,BRD-K86712468,BRD-K39697273,BRD-K89937207,BRD-K94220674,BRD-K94080537,BRD-K32587671,BRD-K40654626,BRD-K47119147,BRD-A23637604,BRD-K88128248,BRD-K26875402,BRD-K31899031,BRD-K39893946,BRD-K58685305,BRD-K61394468,BRD-K01711699,BRD-K84386925,BRD-K63993117,BRD-K71785123,BRD-K30726764,BRD-K61662880,BRD-K78497100,BRD-A31009033,BRD-K47763898,BRD-K52960356,BRD-K21893543,BRD-K79928346,BRD-K09668667,BRD-K49080168,BRD-K34359596,BRD-K84077021,BRD-K32137326,BRD-K87075995,BRD-K41567533,BRD-K13533483,BRD-K51799616,BRD-K34338046,BRD-K60567437,BRD-K94763113,BRD-K48347003,BRD-K16730781,BRD-K67217586,BRD-K95948192,BRD-A55236942,BRD-A01976766,BRD-K59456551,BRD-K95017486,BRD-K78679331,BRD-K65508953,BRD-A38994631,BRD-K61331723,BRD-K30402907,BRD-K63716333,BRD-K41035967,BRD-K00074324,BRD-K32595626,BRD-K22300345,BRD-K70333305,BRD-K38289776,BRD-K00069709,BRD-K78662443,BRD-K47323024,BRD-K47904921,BRD-K64035186,BRD-K75231166,BRD-K17374926,BRD-K43966364,BRD-K88135829,BRD-K06421846,BRD-K86784749,BRD-K12087429
ACEA_AR_agonist_80hr,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,1.0,,1.0,,,0.0,,,0.0,,1.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,1.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,1.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,,,,,1.0,,0.0,0.0,,,,0.0,,1.0,1.0
ACEA_AR_agonist_AUC_viability,0.0,0.0,,,,,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,0.0,,1.0,,,,1.0,1.0,0.0,,,0.0,1.0,0.0,,,,1.0,,0.0,1.0,,,0.0,1.0,,0.0,,1.0,,,1.0,0.0,,,,0.0,0.0,,1.0,,,0.0,,,1.0,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,,,,0.0,,,,,,0.0,1.0,,,1.0,,1.0,1.0,0.0,0.0,,1.0,1.0,,0.0,,,,,,1.0,,,1.0,0.0,1.0,,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,,,1.0,0.0,,,0.0,,0.0,0.0,1.0,0.0,,1.0,0.0,,,1.0,,,,0.0,0.0,,1.0,0.0,,0.0,1.0,,,1.0,1.0,,1.0,1.0,0.0,0.0,,,1.0,,0.0,1.0,1.0,,0.0,,,,0.0,,,1.0,0.0,,,,,0.0,,0.0,0.0,,,,1.0,,0.0,0.0
ACEA_AR_antagonist_80hr,0.0,0.0,,,,,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,1.0,,,,,,,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,,1.0,,,,1.0,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,0.0,1.0,,,0.0,1.0,,0.0,,1.0,,,1.0,0.0,,,,1.0,0.0,,1.0,,,0.0,,,1.0,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,,,,1.0,,,,,,0.0,1.0,,,1.0,,1.0,1.0,0.0,0.0,,1.0,0.0,,1.0,,,,,,1.0,,,1.0,0.0,1.0,,,,0.0,,,,0.0,,,1.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,,,1.0,,,,0.0,0.0,,1.0,1.0,,0.0,1.0,,,1.0,1.0,,1.0,1.0,0.0,0.0,,,1.0,0.0,0.0,1.0,1.0,,1.0,,,,1.0,,,1.0,0.0,,,,,0.0,,0.0,0.0,,,,0.0,,0.0,0.0
ACEA_AR_antagonist_AUC_viability,0.0,0.0,,,,,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,0.0,,,0.0,,0.0,1.0,1.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,,1.0,,,,1.0,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,0.0,1.0,,,0.0,1.0,,0.0,,1.0,,,1.0,0.0,,,,0.0,0.0,,1.0,,,0.0,,,1.0,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,,,,0.0,,,,,,0.0,1.0,,,1.0,,1.0,1.0,0.0,0.0,,1.0,0.0,,1.0,,,,,,1.0,,,1.0,0.0,1.0,,,,0.0,,,,0.0,,,1.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1.0,0.0,,,0.0,,,,0.0,0.0,,1.0,1.0,,0.0,1.0,,,1.0,1.0,,0.0,1.0,0.0,0.0,,,1.0,1.0,0.0,1.0,1.0,,1.0,,,,1.0,,,1.0,0.0,,,,,0.0,,0.0,0.0,,,,1.0,,0.0,0.0
ACEA_ER_80hr,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0
ACEA_ER_AUC_viability,0.0,0.0,,,,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,1.0,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,0.0,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,,,0.0,1.0,,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0.0,,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,1.0,,,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,1.0
APR_HepG2_CellCycleArrest_24h_dn,0.0,0.0,,,,,0.0,1.0,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,1.0,,0.0,0.0,,0.0,,,,0.0,0.0,1.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,0.0,,1.0,,0.0,0.0,,,,,0.0,0.0,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,1.0,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,1.0,0.0,,0.0,,,,,,1.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,1.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,1.0
APR_HepG2_CellCycleArrest_24h_up,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,1.0,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,1.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,0.0
APR_HepG2_CellCycleArrest_72h_dn,0.0,0.0,,,,,1.0,1.0,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0,,1.0,,1.0,,0.0,0.0,,0.0,,,,1.0,0.0,1.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,1.0,0.0,1.0,,0.0,,1.0,,0.0,0.0,,,,,0.0,0.0,,1.0,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,1.0,,0.0,0.0,,,,1.0,,,,,,0.0,1.0,,,1.0,,1.0,,,0.0,,1.0,0.0,,1.0,,,,,,1.0,,,1.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,1.0,0.0,,0.0,1.0,,,0.0,0.0,,1.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,,,0.0,,0.0,1.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,1.0
APR_HepG2_CellCycleArrest_72h_up,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,0.0
